"Email is Null, Please enter email in your %1 profile","Электронная пошта Null, калі ласка, увядзіце адрас электроннай пошты ў вашым профілі %1"
"Data error. Please try again.","Памылка дадзеных. Калі ласка, паспрабуйце яшчэ раз."
"Create an account successfully. Please wait...","Стварыць уліковы запіс паспяхова. Калі ласка пачакай..."
"Ooophs, we got an error: %1","Ooophs, мы атрымалі памылку: %1"
Orange,аранжавы
Green,зялёны
"Dark Blue",Цёмна-сіні
Pink,ружовы
Red,чырвоны
Violet,фіялетавы
Zoom,павялічыць
Newspaper,газета
"Horizontal move","гарызантальнае перасоўванне"
"Move from top","перамясціць зверху"
"3D unfold","3D разгортвацца"
Zoom-out,Змяншэння
"Customer Login Page","Лагін кліента Старонка"
"Customer Create Page","Заказчык Стварыць старонку"
"Login By %1","Уваход Па %1"
"Sign in with %1","Увайсці з %1"
"Create New Account?","Стварыць новы ўліковы запіс?"
"Or Sign In With","Або ўвайсці з"
"Create New Account","Стварыць новы ўліковы запіс"
"Forgot Password","Забыліся на пароль"
"Social Login","сацыяльны Увайсці"
"Send Password To Customer","Адправіць Пароль да кліента"
"Show Social Login Buttons on","Паказаць Сацыяльны Уваход кнопку на"
"Use Popup Login","Выкарыстанне усплываючых вокнаў Увайсці"
"Popup Effect","ўсплывальнае Effect"
"Style Management","стыль кіравання"
"Custom Color","карыстацкі колер"
Facebook,facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://developers.facebook.com/apps"" target=""_bank"">тут</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Дапушчальнае OAuth пераадрасаваць ідэнтыфікатары URI"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://code.google.com/apis/console/"" target=""_bank"">тут</a>"
"Client ID","ідэнтыфікатар кліента"
"Client Secret","кліент Secret"
"REDIRECT URIS","REDIRECT URIS"
Twitter,шчэбет
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://dev.twitter.com/apps"" target=""_bank"">тут</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">тут</a>"
"Secret Client","сакрэтны кліент"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">тут</a>"
Foursquare,квадрат
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">тут</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">тут</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://new.vk.com/dev"" target=""_bank"">тут</a>"
"Application ID","ідэнтыфікатар прыкладання"
"Secure Key","Secure Key"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Стварыць прыкладанне <a href=""https://github.com/settings/applications/new"" target=""_bank"">тут</a>"
