"Email is Null, Please enter email in your %1 profile","EメールはNullです。あなたの %1 のプロフィールにEメールを入力してください"
"Data error. Please try again.",データエラー。もう一度お試しください。
"Create an account successfully. Please wait...",アカウントを正常に作成します。お待ちください...
"Ooophs, we got an error: %1","Ooophs、エラーが発生しました： %1"
Orange,オレンジ
Green,緑
"Dark Blue",濃紺
Pink,ピンク
Red,赤
Violet,バイオレット
Zoom,ズーム
Newspaper,新聞
"Horizontal move",水平移動
"Move from top",上から移動する
"3D unfold",3D展開
Zoom-out,ズームアウトする
"Customer Login Page",顧客ログインページ
"Customer Create Page",顧客作成ページ
"Social Popup Login",ソーシャルポップアップのログイン
"Login By %1","ログイン %1"
"Sign in with %1",%1でログイン
"Create New Account?",新しいアカウントを作成する？
"Or Sign In With",またはサインイン
"Create New Account",新しいアカウントを作成する
"Forgot Password",パスワードをお忘れですか
"Go back",戻る
"Social Login",社会的なログイン
"Send Password To Customer",顧客にパスワードを送信する
"Show Social Login Buttons on",ソーシャルログインボタンを表示する
"Use Popup Login",ポップアップログインの使用
"Popup Effect",ポップアップエフェクト
"Style Management",スタイル管理
"Custom Color",カスタムカラー
Facebook,フェイスブック
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","ここでアプリ <a href=""https://developers.facebook.com/apps"" target=""_bank"">を作成する</a>"
"Facebook App Id",FacebookのアプリID
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs",有効なOAuthリダイレクトURI
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://code.google.com/apis/console/"" target=""_bank"">を作成する</a>"
"Client ID",クライアントID
"Client Secret",クライアントの秘密
"REDIRECT URIS",リダイレクト・ウリス
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","ここでアプリ <a href=""https://dev.twitter.com/apps"" target=""_bank"">を作成する</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","ここでアプリ <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">を作成する</a>"
"Id Client",IDクライアント
"Secret Client",秘密のクライアント
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">を作成する</a>"
Foursquare,フォースクエア
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","ここでアプリ <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">を作成する</a>"
"Callback Url",コールバックURL
Instagram,インスタグラム
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","ここでアプリ <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">を作成する</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","ここでアプリ <a href=""https://new.vk.com/dev"" target=""_bank"">を作成する</a>"
"Application ID",アプリケーションID
"Secure Key",セキュアキー
Github,ギター
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","ここでアプリ <a href=""https://github.com/settings/applications/new"" target=""_bank"">を作成する</a>"
