"Email is Null, Please enter email in your %1 profile","이메일은 Null입니다. %1 프로필에 이메일을 입력하십시오."
"Data error. Please try again.","데이터 오류. 다시 시도하십시오."
"Create an account successfully. Please wait...","계정을 성공적으로 만드십시오. 잠시만 기다려주십시오 ..."
"Ooophs, we got an error: %1","Ooophs, 오류가 발생했습니다 : %1"
Orange,주황색
Green,녹색
"Dark Blue","진한 파란색"
Pink,담홍색
Red,빨간
Violet,제비꽃
Zoom,줌
Newspaper,신문
"Horizontal move","수평 이동"
"Move from top","위에서 이동"
"3D unfold","3D 전개"
Zoom-out,축소
"Customer Login Page","고객 로그인 페이지"
"Customer Create Page","고객 생성 페이지"
"Login By %1","%1로 로그인"
"Sign in with %1","%1로 로그인"
"Create New Account?","새 계정을 만들?"
"Or Sign In With","또는 다음으로 로그인"
"Create New Account","새 계정을 만들"
"Forgot Password","비밀번호를 잊으 셨나요"
"Social Login","소셜 로그인"
"Send Password To Customer","고객에게 비밀번호 보내기"
"Show Social Login Buttons on","소셜 로그인 버튼 표시"
"Use Popup Login","팝업 로그인 사용"
"Popup Effect","팝업 효과"
"Style Management","스타일 관리"
"Custom Color","사용자 정의 색상"
Facebook,"페이스 북"
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://developers.facebook.com/apps"" target=""_bank"">만들기</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","유효한 OAuth 리디렉션 URI"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://code.google.com/apis/console/"" target=""_bank"">만들기</a>"
"Client ID","클라이언트 ID"
"Client Secret","고객 비밀"
"REDIRECT URIS","리다이렉트 유리스"
Twitter,지저귀다
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://dev.twitter.com/apps"" target=""_bank"">만들기</a>"
LinkedIn,"링크드 인"
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">만들기</a>"
"Secret Client","비밀 클라이언트"
Yahoo,야후
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">만들기</a>"
Foursquare,정사각형
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">만들기</a>"
Instagram,"인스 타 그램"
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","여기에서 앱 <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">만들기</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://new.vk.com/dev"" target=""_bank"">만들기</a>"
"Application ID","응용 프로그램 ID"
"Secure Key","보안 키"
Github,기생충
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","여기에서 앱 <a href=""https://github.com/settings/applications/new"" target=""_bank"">만들기</a>"
