"Email is Null, Please enter email in your %1 profile","电子邮件为空，请在您的 %1 个人资料中输入电子邮件地址"
"Data error. Please try again.",数据错误。请再试一次。
"Create an account successfully. Please wait...",成功创建一个帐户。请稍候...
"Ooophs, we got an error: %1","Ooophs，我们得到一个错误： %1"
Orange,橙子
Green,绿色
"Dark Blue",深蓝
Pink,粉
Red,红
Violet,紫色
Zoom,放大
Newspaper,报纸
"Horizontal move",水平移动
"Move from top",从顶部移动
"3D unfold",3D展开
Zoom-out,缩小
"Customer Login Page",客户登录页面
"Customer Create Page",客户创建页面
"Social Popup Login",社交弹出登录
"Login By %1","登录由 %1"
"Sign in with %1","用 %1登录"
"Create New Account?",建立新帐户？
"Or Sign In With",或登录与
"Create New Account",建立新帐户
"Forgot Password",忘记密码
"Go back",回去
"Social Login",社交登录
"Send Password To Customer",发送密码给客户
"Show Social Login Buttons on",显示社交登录按钮
"Use Popup Login",使用弹出式登录
"Popup Effect",弹出式效果
"Style Management",风格管理
"Custom Color",自定义颜色
Facebook,Facebook的
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://developers.facebook.com/apps"" target=""_bank""></a>"
"Facebook App Id",Facebook应用程序ID
"Facebook App Secret",Facebook应用程序秘密
"Valid OAuth redirect URIs",有效的OAuth重定向URI
Google,谷歌
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://code.google.com/apis/console/"" target=""_bank""></a>"
"Client ID",客户端ID
"Client Secret",客户秘密
"REDIRECT URIS",重新选择URIS
Twitter,推特
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://dev.twitter.com/apps"" target=""_bank""></a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""></a>"
"Id Client",Id客户端
"Secret Client",秘密客户
Yahoo,雅虎
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://developer.yahoo.com/apps/"" target=""_bank""></a>"
Foursquare,四方
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://www.foursquare.com/oauth/"" target=""_bank""></a>"
"Callback Url",回拨网址
Instagram,Instagram的
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""></a>"
Vkontakte,VKontakte等
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://new.vk.com/dev"" target=""_bank""></a>"
"Application ID",应用程序ID
"Secure Key",安全密钥
Github,Github上
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","在这里创建应用程序 <a href=""https://github.com/settings/applications/new"" target=""_bank""></a>"
