"Email is Null, Please enter email in your %1 profile","E-pos is Null, Vul asseblief e-pos in u %1 -profiel"
"Data error. Please try again.","Data fout. Probeer asseblief weer."
"Create an account successfully. Please wait...","Skep 'n rekening suksesvol. Wag asseblief..."
"Ooophs, we got an error: %1","Oops, ons het 'n fout: %1"
Orange,Orange
Green,groen
"Dark Blue",Donkerblou
Pink,Pink
Red,rooi
Violet,violet
Zoom,"Klik op"
Newspaper,Koerant
"Horizontal move","Horisontale skuif"
"Move from top","Beweeg van bo af"
"3D unfold","3D ontvou"
Zoom-out,Klik-out
"Customer Login Page","Customer Login Page"
"Customer Create Page","Kliënt Skep Bladsy"
"Login By %1","Inteken deur %1"
"Sign in with %1","Teken in met %1"
"Create New Account?","Skep nuwe rekening?"
"Or Sign In With","Of teken in met"
"Create New Account","Skep nuwe rekening"
"Forgot Password","Wagwoord vergeet"
"Social Login","Sosiale aanmelding"
"Send Password To Customer","Stuur wagwoord na kliënt"
"Show Social Login Buttons on","Wys sosiale aanmeldknoppies op"
"Use Popup Login","Gebruik Popup-aanmelding"
"Popup Effect",Pop-up-effek
"Style Management",Stylbestuur
"Custom Color","Aangepaste Kleur"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Skep app <a href=""https://developers.facebook.com/apps"" target=""_bank"">hier</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Geldige OAuth-herlei-URI's"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Skep app <a href=""https://code.google.com/apis/console/"" target=""_bank"">hier</a>"
"Client ID",Kliënt-ID
"Client Secret",Kliëntgeheim
"REDIRECT URIS","REDIRECT URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Skep app <a href=""https://dev.twitter.com/apps"" target=""_bank"">hier</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Skep app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">hier</a>"
"Secret Client","Geheime Kliënt"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Skep app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">hier</a>"
Foursquare,vierkantig
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Skep app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">hier</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Skep app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">hier</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Skep app <a href=""https://new.vk.com/dev"" target=""_bank"">hier</a>"
"Application ID","Aansoek ID"
"Secure Key","Veilige sleutel"
Github,GitHub
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Skep app <a href=""https://github.com/settings/applications/new"" target=""_bank"">hier</a>"
