"Email is Null, Please enter email in your %1 profile","Электронная почта - Null, введите адрес электронной почты в свой профиль %1"
"Data error. Please try again.","Ошибка данных. Пожалуйста, попробуйте еще раз."
"Create an account successfully. Please wait...","Создайте учетную запись успешно. Пожалуйста, подождите..."
"Ooophs, we got an error: %1","Ooophs, мы получили ошибку: %1"
Orange,оранжевый
Green,зеленый
"Dark Blue",Темно-синий
Pink,розовый
Red,красный
Violet,Фиолетовый
Zoom,Увеличить
Newspaper,Газета
"Horizontal move","Горизонтальное перемещение"
"Move from top","Переместить сверху"
"3D unfold","3D разворачивается"
Zoom-out,Уменьшить
"Customer Login Page","Страница входа в систему"
"Customer Create Page","Создать страницу клиента"
"Social Popup Login","Вход в социальные сети"
"Login By %1","Войти через %1"
"Sign in with %1","Войти через %1"
"Create New Account?","Создать новый аккаунт?"
"Or Sign In With","Или Войти с"
"Create New Account","Создать новый аккаунт"
"Forgot Password","Забыли пароль"
"Go back",Возвращаться
"Social Login","Социальный вход"
"Send Password To Customer","Отправить пароль клиенту"
"Show Social Login Buttons on","Показать кнопки социального входа"
"Use Popup Login","Использование Popup Login"
"Popup Effect","Эффект всплывающих окон"
"Style Management","Управление стилем"
"Custom Color","Пользовательский цвет"
Facebook,facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Создать приложение <a href=""https://developers.facebook.com/apps"" target=""_bank"">здесь</a>"
"Facebook App Id","Идентификатор приложения Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Действительные URI перенаправления OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Создать приложение <a href=""https://code.google.com/apis/console/"" target=""_bank"">здесь</a>"
"Client ID","ID клиента"
"Client Secret","Секрет клиента"
"REDIRECT URIS","REDIRECT URIS"
Twitter,щебет
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Создать приложение <a href=""https://dev.twitter.com/apps"" target=""_bank"">здесь</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Создать приложение <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">здесь</a>"
"Id Client","Id Client"
"Secret Client","Секретный клиент"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Создать приложение <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">здесь</a>"
Foursquare,квадрат
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Создать приложение <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">здесь</a>"
"Callback Url","URL-адрес обратного вызова"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Создать приложение <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">здесь</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Создать приложение <a href=""https://new.vk.com/dev"" target=""_bank"">здесь</a>"
"Application ID","ID приложения"
"Secure Key","Защитный ключ"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Создать приложение <a href=""https://github.com/settings/applications/new"" target=""_bank"">здесь</a>"
