"Email is Null, Please enter email in your %1 profile","O email é nulo, insira o email em seu perfil %1"
"Data error. Please try again.","Erro de data. Por favor, tente novamente."
"Create an account successfully. Please wait...","Crie uma conta com sucesso. Por favor, espere..."
"Ooophs, we got an error: %1","Ooofs, temos um erro: %1"
Orange,laranja
Green,Verde
"Dark Blue","Azul escuro"
Pink,Rosa
Red,Vermelho
Violet,Tolet
Zoom,Zoom
Newspaper,Jornal
"Horizontal move","Movimento horizontal"
"Move from top","Mude do topo"
"3D unfold","Desdobramento 3D"
Zoom-out,"Reduzir o zoom"
"Customer Login Page","Página de Login do Cliente"
"Customer Create Page","Cliente Criar Página"
"Login By %1","Entrar por %1"
"Sign in with %1","Faça login com %1"
"Create New Account?","Criar nova conta?"
"Or Sign In With","Ou faça o login com"
"Create New Account","Criar nova conta"
"Forgot Password","Esqueceu a senha"
"Social Login","Login Social"
"Send Password To Customer","Enviar Senha ao Cliente"
"Show Social Login Buttons on","Mostrar botões de login social em"
"Use Popup Login","Use o Login Popup"
"Popup Effect","Efeito pop-up"
"Style Management","Gerenciamento de estilo"
"Custom Color","Cor customizada"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://developers.facebook.com/apps"" target=""_bank"">aqui</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URIs de redirecionamento de OAuth válidas"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://code.google.com/apis/console/"" target=""_bank"">aqui</a>"
"Client ID","ID do Cliente"
"Client Secret","Segredo do cliente"
"REDIRECT URIS","REDIRECE URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://dev.twitter.com/apps"" target=""_bank"">aqui</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aqui</a>"
"Secret Client","Cliente secreto"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aqui</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aqui</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Criar aplicativo <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aqui</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://new.vk.com/dev"" target=""_bank"">aqui</a>"
"Application ID","ID do aplicativo"
"Secure Key","Chave segura"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Criar aplicativo <a href=""https://github.com/settings/applications/new"" target=""_bank"">aqui</a>"
