"Email is Null, Please enter email in your %1 profile","Sähköposti on tyhjä, kirjoita sähköpostiosoitteesi %1 -profiiliisi"
"Data error. Please try again.","Tietovirhe. Yritä uudelleen."
"Create an account successfully. Please wait...","Luo tili onnistuneesti. Odota..."
"Ooophs, we got an error: %1","Ooophs, saimme virheen: %1"
Orange,Oranssi
Green,Vihreä
"Dark Blue",Tummansininen
Pink,Vaaleanpunainen
Red,Punainen
Violet,Violetti
Zoom,Zoomaus
Newspaper,sanomalehti
"Horizontal move","Vaaka liikkuu"
"Move from top","Siirry ylhäältä"
"3D unfold","3D avautuu"
Zoom-out,Loitontaa
"Customer Login Page","Asiakas kirjautuminen sivu"
"Customer Create Page","Asiakas luo sivun"
"Login By %1","Kirjaudu sisään mennessä %1"
"Sign in with %1","Kirjaudu sisään %1"
"Create New Account?","Luo uusi tili?"
"Or Sign In With","Tai kirjaudu sisään"
"Create New Account","Luo uusi tili"
"Forgot Password","Unohtuiko salasana"
"Social Login","Sosiaalinen kirjautuminen"
"Send Password To Customer","Lähetä salasana asiakkaalle"
"Show Social Login Buttons on","Näytä sosiaalisen tunnuksen painikkeet"
"Use Popup Login","Käytä popup-kirjautumista"
"Popup Effect",Popup-vaikutus
"Style Management",Tyylihallinta
"Custom Color","Mukautettu väri"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Luo sovellus <a href=""https://developers.facebook.com/apps"" target=""_bank"">täältä</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Voimassa OAuth-uudelleenohjaus URI: t"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://code.google.com/apis/console/"" target=""_bank"">täältä</a>"
"Client ID",Asiakastunnus
"Client Secret","Client Secret"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Viserrys
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Luo sovellus <a href=""https://dev.twitter.com/apps"" target=""_bank"">täältä</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Luo sovellus <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">täältä</a>"
"Secret Client","Salainen asiakas"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">täältä</a>"
Foursquare,luja
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Luo sovellus <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">täältä</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Luo sovellus <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">täältä</a>"
Vkontakte,vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Luo sovellus <a href=""https://new.vk.com/dev"" target=""_bank"">täältä</a>"
"Application ID","Sovelluksen tunnus"
"Secure Key","Secure Key"
Github,GitHub
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Luo sovellus <a href=""https://github.com/settings/applications/new"" target=""_bank"">täältä</a>"
