"Email is Null, Please enter email in your %1 profile","E-mail je nulový, zadejte prosím e-mail do profilu %1"
"Data error. Please try again.","Chyba dat. Prosím zkuste to znovu."
"Create an account successfully. Please wait...","Úspěšně vytvořte účet. Prosím, čekejte..."
"Ooophs, we got an error: %1","Ooophs, dostali jsme chybu: %1"
Orange,oranžový
Green,Zelená
"Dark Blue","Tmavě modrá"
Pink,Růžový
Red,Červené
Violet,fialový
Zoom,Zvětšení
Newspaper,Noviny
"Horizontal move","Horizontální pohyb"
"Move from top","Přesuňte se z vrcholu"
"3D unfold","3D rozvinout"
Zoom-out,Oddálit
"Customer Login Page","Stránka pro přihlášení zákazníka"
"Customer Create Page","Zákazník Vytvořit stránku"
"Login By %1","Přihlásit se podle %1"
"Sign in with %1","Přihlaste se %1"
"Create New Account?","Vytvořit nový účet?"
"Or Sign In With","Nebo se přihlaste"
"Create New Account","Vytvořit nový účet"
"Forgot Password","Zapomenuté heslo"
"Social Login","Sociální přihlášení"
"Send Password To Customer","Odeslat heslo zákazníkovi"
"Show Social Login Buttons on","Zobrazit tlačítka pro přihlášení do služby Social"
"Use Popup Login","Použijte přihlašovací popup"
"Popup Effect","Popup efekt"
"Style Management","Správa stylů"
"Custom Color","Vlastní barva"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://developers.facebook.com/apps"" target=""_bank""></a>"
"Facebook App Secret","Facebook tajné aplikace"
"Valid OAuth redirect URIs","Platné identifikátory URI přesměrování OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://code.google.com/apis/console/"" target=""_bank""></a>"
"Client ID","ID klienta"
"Client Secret","Klientské tajemství"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Cvrlikání
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://dev.twitter.com/apps"" target=""_bank""></a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""></a>"
"Secret Client","Tajný klient"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://developer.yahoo.com/apps/"" target=""_bank""></a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://www.foursquare.com/oauth/"" target=""_bank""></a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""></a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://new.vk.com/dev"" target=""_bank""></a>"
"Application ID","ID aplikace"
"Secure Key","Zabezpečený klíč"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Zde si vytvořte aplikaci <a href=""https://github.com/settings/applications/new"" target=""_bank""></a>"
