"Email is Null, Please enter email in your %1 profile","E-mail is null, geef e-mailadres op in uw %1 -profiel"
"Data error. Please try again.","Gegevensfout. Probeer het opnieuw."
"Create an account successfully. Please wait...","Maak een account succesvol aan. Even geduld aub..."
"Ooophs, we got an error: %1","Ooophs, we hebben een foutmelding: %1"
Orange,Oranje
Green,Groen
"Dark Blue",Donkerblauw
Pink,Roze
Red,Rood
Violet,paars
Zoom,Zoom
Newspaper,Krant
"Horizontal move","Horizontale beweging"
"Move from top","Verplaats van boven"
"3D unfold","3D ontvouwen"
Zoom-out,Uitzoomen
"Customer Login Page","Loginpagina voor klanten"
"Customer Create Page","Klantpagina maken"
"Social Popup Login","Social Popup Login"
"Login By %1","Inloggen door %1"
"Sign in with %1","Log in met %1"
"Create New Account?","Creëer een nieuw account?"
"Or Sign In With","Of log in met"
"Create New Account","Creëer een nieuw account"
"Forgot Password","Wachtwoord vergeten"
"Go back","Ga terug"
"Social Login","Sociale login"
"Send Password To Customer","Stuur wachtwoord naar klant"
"Show Social Login Buttons on","Laat sociale login-knoppen zien"
"Use Popup Login","Gebruik Popup Login"
"Popup Effect","Pop-up effect"
"Style Management",Stijlmanagement
"Custom Color","Aangepaste kleur"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Maak hier <a href=""https://developers.facebook.com/apps"" target=""_bank"">app</a>"
"Facebook App Id",Facebook-app-ID
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Geldige OAuth-omleidings-URI's"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Maak hier <a href=""https://code.google.com/apis/console/"" target=""_bank"">app</a>"
"Client ID","klant identificatie"
"Client Secret","Client Secret"
"REDIRECT URIS","REDIRECT URIS"
Twitter,tjilpen
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Maak hier <a href=""https://dev.twitter.com/apps"" target=""_bank"">app</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Maak hier <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">app</a>"
"Id Client",Id-client
"Secret Client","Geheime klant"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Maak hier <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">app</a>"
Foursquare,Vierkant
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Maak hier <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">app</a>"
"Callback Url",Callback-URL
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Maak hier <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">app</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Maak hier <a href=""https://new.vk.com/dev"" target=""_bank"">app</a>"
"Application ID","Applicatie ID"
"Secure Key","Beveiligde sleutel"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Maak hier <a href=""https://github.com/settings/applications/new"" target=""_bank"">app</a>"
