"Email is Null, Please enter email in your %1 profile","Emailul este nul, vă rugăm să introduceți e-mail în profilul dvs. %1"
"Data error. Please try again.","Eroare de date. Vă rugăm să încercați din nou."
"Create an account successfully. Please wait...","Creați un cont cu succes. Te rog asteapta..."
"Ooophs, we got an error: %1","Ooophs, am avut o eroare: %1"
Orange,Portocale
Green,Verde
"Dark Blue","Albastru inchis"
Pink,Roz
Red,roșu
Violet,violet
Zoom,Zoom
Newspaper,Ziar
"Horizontal move","Mișcare orizontală"
"Move from top","Deplasați-vă de sus"
"3D unfold","Desfășurați 3D"
Zoom-out,"A micsora"
"Customer Login Page","Pagina de conectare pentru clienți"
"Customer Create Page","Client Crearea paginii"
"Social Popup Login","Social Popup Login"
"Login By %1","Conectare prin %1"
"Sign in with %1","Conectați-vă cu %1"
"Create New Account?","Creează un cont nou?"
"Or Sign In With","Sau conectați-vă cu"
"Create New Account","Creează un cont nou"
"Forgot Password","Aţi uitat parola"
"Go back",Întoarce-te
"Social Login","Conectare socială"
"Send Password To Customer","Trimiteți parola clientului"
"Show Social Login Buttons on","Afișați butoanele de conectare socială pe"
"Use Popup Login","Utilizați Conectare popup"
"Popup Effect","Efectul popup"
"Style Management","Managementul stilului"
"Custom Color","Culoare particularizată"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Creați aplicația <a href=""https://developers.facebook.com/apps"" target=""_bank"">aici</a>"
"Facebook App Id","Codul aplicației Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Valabil URI-uri de redirecționare OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://code.google.com/apis/console/"" target=""_bank"">aici</a>"
"Client ID","ID-ul clientului"
"Client Secret","Secretul clientului"
"REDIRECT URIS","REDIRECT URIS"
Twitter,"Stare de nervozitate"
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Creați aplicația <a href=""https://dev.twitter.com/apps"" target=""_bank"">aici</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Creați aplicația <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aici</a>"
"Id Client","Id Client"
"Secret Client","Client secret"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aici</a>"
Foursquare,pătrat
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Creați aplicația <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aici</a>"
"Callback Url","Callback url"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Creați aplicația <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aici</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Creați aplicația <a href=""https://new.vk.com/dev"" target=""_bank"">aici</a>"
"Application ID","ID-ul aplicației"
"Secure Key","Cheie securizată"
Github,github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Creați aplicația <a href=""https://github.com/settings/applications/new"" target=""_bank"">aici</a>"
