"Email is Null, Please enter email in your %1 profile","E-Mail-Adresse ist ungültig. Bitte geben Sie die E-Mail-Adresse in Ihr %1 -Profil ein"
"Data error. Please try again.","Datenfehler. Bitte versuche es erneut."
"Create an account successfully. Please wait...","Erstellen Sie ein Konto erfolgreich. Warten Sie mal..."
"Ooophs, we got an error: %1","Ooophs, wir haben einen Fehler bekommen: %1"
Orange,Orange
Green,Grün
"Dark Blue",Dunkelblau
Pink,Rosa
Red,rot
Violet,Violett
Zoom,Zoomen
Newspaper,Zeitung
"Horizontal move","Horizontale Bewegung"
"Move from top","Bewegung von oben"
"3D unfold","3D entfalten sich"
Zoom-out,Rauszoomen
"Customer Login Page","Kunden Login Seite"
"Customer Create Page","Kundenseite erstellen"
"Social Popup Login",Social-Popup-Anmeldung
"Login By %1","Anmeldung bis %1"
"Sign in with %1","Melden Sie sich mit %1 an"
"Create New Account?","Neuen Account erstellen?"
"Or Sign In With","Oder Anmelden mit"
"Create New Account","Neuen Account erstellen"
"Forgot Password","Passwort vergessen"
"Go back","Geh zurück"
"Social Login",Sozialanmeldung
"Send Password To Customer","Senden Sie ein Passwort an den Kunden"
"Show Social Login Buttons on","Zeige soziale Login Buttons an"
"Use Popup Login","Verwenden Sie die Popup-Anmeldung"
"Popup Effect",Popup-Effekt
"Style Management",Stilverwaltung
"Custom Color","Freiwählbare Farbe"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://developers.facebook.com/apps"" target=""_bank"">hier</a>"
"Facebook App Id","Facebook App-ID"
"Facebook App Secret","Facebook App Geheimnis"
"Valid OAuth redirect URIs","Gültige OAuth-Umleitungs-URIs"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://code.google.com/apis/console/"" target=""_bank"">hier</a>"
"Client ID","Kunden ID"
"Client Secret",Kundengeheimnis
"REDIRECT URIS","REDIRECT URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://dev.twitter.com/apps"" target=""_bank"">hier</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">hier</a>"
"Id Client",ID-Kunde
"Secret Client","Geheimer Kunde"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">hier</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">hier</a>"
"Callback Url",Rückruf-URL
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">hier</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://new.vk.com/dev"" target=""_bank"">hier</a>"
"Application ID",Anwendungs-ID
"Secure Key","Sicherer Schlüssel"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Erstellen Sie die App <a href=""https://github.com/settings/applications/new"" target=""_bank"">hier</a>"
