"Email is Null, Please enter email in your %1 profile","El correo electrónico es nulo. Ingrese el correo electrónico en su perfil %1."
"Data error. Please try again.","Error de datos. Inténtalo de nuevo."
"Create an account successfully. Please wait...","Crea una cuenta exitosamente Por favor espera..."
"Ooophs, we got an error: %1","Ooophs, tenemos un error: %1"
Orange,naranja
Green,Verde
"Dark Blue","Azul oscuro"
Pink,Rosado
Red,rojo
Violet,Violeta
Zoom,Enfocar
Newspaper,Periódico
"Horizontal move","Movimiento horizontal"
"Move from top","Moverse desde arriba"
"3D unfold","Despliegue 3D"
Zoom-out,"Disminuir el zoom"
"Customer Login Page","Página de acceso del cliente"
"Customer Create Page","Página de creación de cliente"
"Login By %1","Login Por %1"
"Sign in with %1","Iniciar sesión con %1"
"Create New Account?","¿Crear una nueva cuenta?"
"Or Sign In With","O inicia sesión con"
"Create New Account","Crear una nueva cuenta"
"Forgot Password","Se te olvidó tu contraseña"
"Social Login","Inicio de sesión social"
"Send Password To Customer","Enviar contraseña al cliente"
"Show Social Login Buttons on","Mostrar botones de inicio de sesión social en"
"Use Popup Login","Use el inicio de sesión emergente"
"Popup Effect","Efecto emergente"
"Style Management","Gestión de estilo"
"Custom Color","Color personalizado"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Crear aplicación <a href=""https://developers.facebook.com/apps"" target=""_bank"">aquí</a>"
"Facebook App Secret","Secreto de aplicación de Facebook"
"Valid OAuth redirect URIs","URI de redirección de OAuth válidos"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://code.google.com/apis/console/"" target=""_bank"">aquí</a>"
"Client ID","Identificación del cliente"
"Client Secret","Secreto del cliente"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Gorjeo
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Crear aplicación <a href=""https://dev.twitter.com/apps"" target=""_bank"">aquí</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Crear aplicación <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aquí</a>"
"Secret Client","Cliente secreto"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aquí</a>"
Foursquare,Firme
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Crear aplicación <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aquí</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Crear aplicación <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aquí</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Crear aplicación <a href=""https://new.vk.com/dev"" target=""_bank"">aquí</a>"
"Application ID","ID de aplicación"
"Secure Key","Clave segura"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Crear aplicación <a href=""https://github.com/settings/applications/new"" target=""_bank"">aquí</a>"
