"Email is Null, Please enter email in your %1 profile","電子郵件為空，請在您的 %1 個人資料中輸入電子郵件地址"
"Data error. Please try again.",數據錯誤。請再試一次。
"Create an account successfully. Please wait...",成功創建一個帳戶。請稍候...
"Ooophs, we got an error: %1","Ooophs，我們得到一個錯誤： %1"
Orange,橙子
Green,綠色
"Dark Blue",深藍
Pink,粉
Red,紅
Violet,紫色
Zoom,放大
Newspaper,報紙
"Horizontal move",水平移動
"Move from top",從頂部移動
"3D unfold",3D展開
Zoom-out,縮小
"Customer Login Page",客戶登錄頁面
"Customer Create Page",客戶創建頁面
"Login By %1","登錄由 %1"
"Sign in with %1","用 %1登錄"
"Create New Account?",建立新帳戶？
"Or Sign In With",或登錄與
"Create New Account",建立新帳戶
"Forgot Password",忘記密碼
"Social Login",社交登錄
"Send Password To Customer",發送密碼給客戶
"Show Social Login Buttons on",顯示社交登錄按鈕
"Use Popup Login",使用彈出式登錄
"Popup Effect",彈出式效果
"Style Management",風格管理
"Custom Color",自定義顏色
Facebook,Facebook的
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://developers.facebook.com/apps"" target=""_bank""></a>"
"Facebook App Secret",Facebook應用程序秘密
"Valid OAuth redirect URIs",有效的OAuth重定向URI
Google,谷歌
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://code.google.com/apis/console/"" target=""_bank""></a>"
"Client ID",客戶端ID
"Client Secret",客戶秘密
"REDIRECT URIS",重新選擇URIS
Twitter,推特
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://dev.twitter.com/apps"" target=""_bank""></a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""></a>"
"Secret Client",秘密客戶
Yahoo,雅虎
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://developer.yahoo.com/apps/"" target=""_bank""></a>"
Foursquare,四方
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://www.foursquare.com/oauth/"" target=""_bank""></a>"
Instagram,Instagram的
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""></a>"
Vkontakte,VKontakte等
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://new.vk.com/dev"" target=""_bank""></a>"
"Application ID",應用程序ID
"Secure Key",安全密鑰
Github,Github上
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","在這裡創建應用程序 <a href=""https://github.com/settings/applications/new"" target=""_bank""></a>"
